STATE,T_BREAK,T_CASE,T_CHAN,T_CONST,T_CONTINUE,T_DEFER,T_DEFAULT,T_ELSE,T_FALLTHROUGH,T_FOR,T_FUNC,T_GO,T_GOTO,T_IDENT,T_IF,T_IMPORT,T_INT_R,T_INTERFACE,T_MAP,T_PACKAGE,T_RANGE,T_RETURN,T_SELECT,T_STRUCT,T_SWITCH,T_TYPE,T_VAR,T_SUB,T_INT_V,T_FLOAT_V,T_STRING_V,T_GREATER_THAN,T_GREATER_GREATER,T_GREATER_GREATER_EQ,T_GREATER_EQ,T_LESS_THAN,T_LESS_LESS,T_LESS_LESS_EQ,T_LESS_EQ,T_PLUS,T_PLUS_PLUS,T_PLUS_EQ,T_SUB_SUB,T_SUB_EQ,T_MULT,T_MULT_EQ,T_DIV,T_DIV_EQ,T_MOD,T_MOD_EQ,T_AND,T_AND_AND,T_AND_EQ,T_OR,T_OR_OR,T_OR_EQ,T_EQ,T_EQ_EQ,T_COLON,T_COLON_EQ,T_NOT,T_NOT_EQ,T_BKT_LEFT,T_BKT_RIGHT,T_SBKT_LEFT,T_SBKT_RIGHT,T_CBKT_LEFT,T_CBKT_RIGHT,T_COMMA,T_SEMICOLON,T_DOT,T_BOOL_R,T_BYTE_R,T_FLOAT32_R,T_FLOAT64_R,T_INT8_R,T_INT16_R,T_INT32_R,T_INT64_R,T_RUNE_R,T_STRING_R,T_BOOL_V,DOLLAR
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1056,-1,-1,-1,-1,1056,-1,-1,-1,-1,-1,-1,-1,-1,-1,1056,1056,1056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1056,-1,1056,-1,1056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1056,-1
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057,-1,-1,-1,-1,1057,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057,1057,1057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057,-1,1057,-1,1057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057,-1
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1058,-1,-1,-1,-1,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,1058,1058,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1058,-1,1058,-1,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1058,-1
44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1059,-1,-1,-1,-1,1059,-1,-1,-1,-1,-1,-1,-1,-1,-1,1059,1059,1059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1059,-1,1059,-1,1059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1059,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1060,-1,-1,-1,-1,1060,-1,-1,-1,-1,-1,-1,-1,-1,-1,1060,1060,1060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1060,-1,1060,-1,1060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1060,-1
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061,-1,-1,-1,-1,1061,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061,1061,1061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061,-1,1061,-1,1061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1061,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1,-1,-1,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,1062,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1,1062,-1,1062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1062,-1
48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1063,-1,-1,-1,-1,1063,-1,-1,-1,-1,-1,-1,-1,-1,-1,1063,1063,1063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1063,-1,1063,-1,1063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1063,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1064,-1,-1,-1,-1,1064,-1,-1,-1,-1,-1,-1,-1,-1,-1,1064,1064,1064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1064,-1,1064,-1,1064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1064,-1
50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1065,-1,-1,-1,-1,1065,-1,-1,-1,-1,-1,-1,-1,-1,-1,1065,1065,1065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1065,-1,1065,-1,1065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1065,-1
51,-1,1111,-1,-1,-1,1111,1111,-1,-1,1111,1111,1111,-1,1111,1111,1111,-1,-1,-1,1111,-1,1111,-1,-1,1111,1111,1111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1111,1111,-1,1111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1111
52,-1,1112,-1,-1,-1,1112,1112,-1,-1,1112,1112,1112,-1,1112,1112,1112,-1,-1,-1,1112,-1,1112,-1,-1,1112,1112,1112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1112,1112,-1,1112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1112
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,65,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,72,1087,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1
54,-1,1051,-1,-1,-1,1051,1051,-1,-1,1051,1051,1051,-1,1051,1051,1051,-1,-1,-1,1051,-1,1051,-1,-1,1051,1051,1051,1051,-1,-1,-1,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,-1,1051,1051,1051,-1,1051,1051,1051,1051,1051,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
55,-1,1045,-1,-1,-1,1045,1045,-1,-1,1045,1045,1045,-1,1045,1045,1045,-1,-1,-1,1045,-1,1045,-1,-1,1045,1045,1045,1045,-1,-1,-1,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,-1,1045,1045,1045,56,1045,1045,1045,1045,1045,1045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1045
56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,112,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,-1,1120,-1,-1,-1,1120,1120,114,-1,1120,1120,1120,-1,1120,1120,1120,-1,-1,-1,1120,-1,1120,-1,-1,1120,1120,1120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1120
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,65,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1116,-1,-1,-1,-1,1116,-1,-1,1116,-1,-1,1116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,1091,-1,-1,-1,1091,1091,-1,-1,1091,1091,1091,-1,1091,1091,1091,-1,-1,-1,1091,-1,1091,-1,-1,1091,1091,1091,123,-1,-1,-1,131,129,-1,132,133,130,-1,134,122,-1,-1,-1,-1,124,-1,125,-1,126,-1,127,138,-1,128,137,-1,-1,135,1091,-1,-1,136,-1,1091,-1,-1,1091,1091,1091,1091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1091
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,141,-1
STATE,T_BREAK,T_CASE,T_CHAN,T_CONST,T_CONTINUE,T_DEFER,T_DEFAULT,T_ELSE,T_FALLTHROUGH,T_FOR,T_FUNC,T_GO,T_GOTO,T_IDENT,T_IF,T_IMPORT,T_INT_R,T_INTERFACE,T_MAP,T_PACKAGE,T_RANGE,T_RETURN,T_SELECT,T_STRUCT,T_SWITCH,T_TYPE,T_VAR,T_SUB,T_INT_V,T_FLOAT_V,T_STRING_V,T_GREATER_THAN,T_GREATER_GREATER,T_GREATER_GREATER_EQ,T_GREATER_EQ,T_LESS_THAN,T_LESS_LESS,T_LESS_LESS_EQ,T_LESS_EQ,T_PLUS,T_PLUS_PLUS,T_PLUS_EQ,T_SUB_SUB,T_SUB_EQ,T_MULT,T_MULT_EQ,T_DIV,T_DIV_EQ,T_MOD,T_MOD_EQ,T_AND,T_AND_AND,T_AND_EQ,T_OR,T_OR_OR,T_OR_EQ,T_EQ,T_EQ_EQ,T_COLON,T_COLON_EQ,T_NOT,T_NOT_EQ,T_BKT_LEFT,T_BKT_RIGHT,T_SBKT_LEFT,T_SBKT_RIGHT,T_CBKT_LEFT,T_CBKT_RIGHT,T_COMMA,T_SEMICOLON,T_DOT,T_BOOL_R,T_BYTE_R,T_FLOAT32_R,T_FLOAT64_R,T_INT8_R,T_INT16_R,T_INT32_R,T_INT64_R,T_RUNE_R,T_STRING_R,T_BOOL_V,DOLLAR
64,-1,1077,-1,-1,-1,1077,1077,-1,-1,1077,1077,1077,-1,1077,1077,1077,-1,-1,-1,1077,-1,1077,-1,-1,1077,1077,1077,1077,-1,-1,-1,1077,1077,-1,1077,1077,1077,-1,1077,1077,-1,-1,-1,-1,1077,-1,1077,-1,1077,-1,1077,1077,-1,1077,1077,-1,-1,1077,1077,-1,-1,1077,-1,1077,-1,-1,1077,1077,1077,1077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1077
65,-1,1078,-1,-1,-1,1078,1078,-1,-1,1078,1078,1078,-1,1078,1078,1078,-1,-1,-1,1078,-1,1078,-1,-1,1078,1078,1078,1078,-1,-1,-1,1078,1078,-1,1078,1078,1078,-1,1078,1078,-1,-1,-1,-1,1078,-1,1078,-1,1078,-1,1078,1078,-1,1078,1078,-1,-1,1078,1078,-1,-1,1078,-1,1078,-1,-1,1078,1078,1078,1078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1078
66,-1,1079,-1,-1,-1,1079,1079,-1,-1,1079,1079,1079,-1,1079,1079,1079,-1,-1,-1,1079,-1,1079,-1,-1,1079,1079,1079,1079,-1,-1,-1,1079,1079,-1,1079,1079,1079,-1,1079,1079,-1,-1,-1,-1,1079,-1,1079,-1,1079,-1,1079,1079,-1,1079,1079,-1,-1,1079,1079,-1,-1,1079,-1,1079,-1,-1,1079,1079,1079,1079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1079
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1080,-1
68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,-1,1135,-1,-1,-1,1135,1135,-1,-1,1135,1135,1135,-1,1135,1135,1135,-1,-1,-1,1135,-1,1135,-1,-1,1135,1135,1135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1135
71,-1,1089,-1,-1,-1,1089,1089,-1,-1,1089,1089,1089,-1,1089,1089,1089,-1,-1,-1,1089,-1,1089,-1,-1,1089,1089,1089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1089,-1,-1,-1,1089,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1089
72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,65,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,72,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1081,-1
73,-1,1067,-1,-1,-1,1067,1067,-1,-1,1067,1067,1067,-1,1067,1067,1067,-1,-1,-1,1067,-1,1067,-1,-1,1067,1067,1067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1067,-1,-1,1067,1067,1067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1067
74,-1,1068,-1,-1,-1,1068,1068,-1,-1,1068,1068,1068,-1,1068,1068,1068,-1,-1,-1,1068,-1,1068,-1,-1,1068,1068,1068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1068,-1,-1,1068,1068,1068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1068
75,-1,1069,-1,-1,-1,1069,1069,-1,-1,1069,1069,1069,-1,1069,1069,1069,-1,-1,-1,1069,-1,1069,-1,-1,1069,1069,1069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1069,-1,-1,1069,1069,1069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1069
76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,91,92,93,94,95,96,97,98,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,-1,1085,-1,-1,-1,1085,1085,-1,-1,1085,1085,1085,-1,1085,1085,1085,-1,-1,-1,1085,-1,1085,-1,-1,1085,1085,1085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1085
80,-1,1085,-1,-1,-1,1085,1085,-1,-1,1085,1085,1085,-1,1085,1085,1085,-1,-1,-1,1085,-1,1085,-1,-1,1085,1085,1085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1085
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
